Date;Open;High ;Low;Close ;Adj Close ;Volume 
;;;;;;
01/11/2018;47.810001;50.840000;47.299999;50.400002;43.118225;279957400
01/12/2018;49.869999;50.509998;45.660000;47.349998;40.829208;308108600
01/01/2019;46.939999;48.779999;46.340000;48.130001;41.501785;290752700
01/02/2019;48.480000;49.939999;44.419998;45.340000;39.096016;388570200
01/03/2019;45.470001;46.919998;44.610001;46.860001;40.406693;363961200
01/04/2019;46.990002;49.180000;46.040001;49.060001;42.673016;238015200
01/05/2019;48.950001;49.900002;47.070000;49.130001;42.733910;258269900
01/06/2019;49.160000;52.200001;49.020000;50.919998;44.290867;248586800
01/07/2019;51.070000;54.820000;50.779999;52.630001;46.135605;257685900
01/08/2019;52.779999;55.340000;51.400002;55.040001;48.248219;271904100
01/09/2019;54.980000;55.919998;53.630001;54.439999;47.722260;216515600
01/10/2019;54.529999;55.389999;52.820000;54.430000;48.062344;245853900
01/11/2019;54.630001;54.740002;51.580002;53.400002;47.152847;226002600
01/12/2019;53.320000;55.450001;52.849998;55.349998;49.239803;230590700
01/01/2020;55.320000;59.080002;54.090000;58.400002;51.953098;286856700
01/02/2020;58.750000;60.130001;51.580002;53.490002;47.585125;245599100
01/03/2020;53.930000;59.000000;36.270000;44.250000;39.365147;693439800
01/04/2020;42.480000;49.730000;41.799999;45.889999;41.182129;395209600
01/05/2020;45.619999;47.459999;43.200001;46.680000;41.891087;382765600
01/06/2020;46.660000;49.970001;43.509998;44.680000;40.096268;399229500
01/07/2020;44.930000;49.279999;43.830002;47.240002;42.778782;369294100
01/08/2020;47.139999;50.070000;46.220001;49.529999;44.852516;252126200
01/09/2020;49.310001;52.139999;47.560001;49.369999;44.707626;341638700
01/10/2020;49.439999;51.529999;47.299999;48.060001;43.873642;292193800
01/11/2020;48.750000;54.619999;48.240002;51.599998;47.105274;339327300
01/12/2020;52.139999;54.930000;51.639999;54.840000;50.455585;303487100
01/01/2021;54.270000;54.630001;48.110001;48.150002;44.300453;457208200
01/02/2021;48.270000;51.509998;48.180000;48.990002;45.073288;301062400
01/03/2021;49.439999;53.939999;49.400002;52.709999;48.495880;452188000
01/04/2021;52.959999;54.869999;52.290001;53.980000;50.077721;270807700
01/05/2021;54.270000;55.709999;53.610001;55.290001;51.293018;309903200
01/06/2021;55.340000;56.480000;53.720001;54.110001;50.198326;305857700
01/07/2021;54.340000;57.560001;53.549999;57.029999;53.305885;293385300
01/08/2021;57.200001;57.560001;55.450001;56.310001;52.632904;220335000
01/09/2021;56.380001;57.029999;52.430000;52.470001;49.043663;334494700
01/10/2021;52.779999;56.470001;52.400002;56.369999;53.086643;331812000
01/11/2021;56.389999;57.160000;52.439999;52.450001;49.394966;286683400
01/12/2021;52.980000;59.349998;52.279999;59.209999;56.193638;426786000
01/01/2022;58.820000;61.450001;58.380001;61.009998;57.901939;407891700
01/02/2022;60.910000;62.900002;59.220001;62.240002;59.069283;396000700
01/03/2022;62.139999;63.020000;57.500000;62.000000;58.841507;426922600
01/04/2022;62.330002;67.199997;61.720001;64.610001;61.787926;319591200
01/05/2022;65.279999;66.379997;59.660000;63.380001;60.611649;459881800
01/06/2022;63.419998;63.770000;58.250000;62.910000;60.162178;353151200
01/07/2022;63.119999;64.449997;60.790001;64.169998;61.810516;275802300
01/08/2022;64.089996;65.470001;61.700001;61.709999;59.440971;223178000
01/09/2022;61.580002;62.880001;55.910000;56.020000;53.960186;317560600
01/10/2022;56.360001;60.910000;54.020000;59.849998;58.069668;325950900
01/11/2022;60.029999;63.680000;58.099998;63.610001;61.717827;269982400
01/12/2022;63.610001;64.699997;62.330002;63.610001;62.155540;245985300
01/01/2023;63.560001;63.720001;59.400002;61.320000;59.917900;260737100
01/02/2023;61.139999;61.580002;58.880001;59.509998;58.149284;265889400
01/03/2023;59.130001;62.250000;58.369999;62.029999;60.611668;335455500
01/04/2023;62.299999;64.989998;61.860001;64.150002;63.164001;213353000
01/05/2023;64.150002;64.690002;59.369999;59.660000;58.743015;295741900
01/06/2023;59.939999;62.169998;59.770000;60.220001;59.294411;319411600
01/07/2023;60.200001;63.270000;58.840000;61.930000;61.442528;256289400
01/08/2023;62.090000;62.590000;59.810001;59.830002;59.359058;204573100
01/09/2023;60.000000;60.130001;55.619999;55.980000;55.539364;310343200
01/10/2023;55.910000;56.009998;51.549999;53.709999;53.709999;155403200
11/10/2023;54.220001;54.279999;53.020000;53.709999;53.709999;20925276
