ISIN : ABC000000092 - Ticker : ABCSB;Date ;Open ;High ;Low;Close 
;;;;;
;;;;;
ABC000000092  - ABCSB;02/10/2023;26,54;27,28;25,28;26,4
ABC000000092  - ABCSB;01/09/2023;25,11;27,62;25,05;26,48
ABC000000092  - ABCSB;01/08/2023;24,11;25,9;23,08;25,06
ABC000000092  - ABCSB;03/07/2023;22,87;25,3;22,78;24,11
ABC000000092  - ABCSB;01/06/2023;25,1;26,49;21,81;22,89
ABC000000092  - ABCSB;01/05/2023;26,39;26,74;24,61;25,06
ABC000000092  - ABCSB;03/04/2023;22,35;27,41;22,19;26,99
ABC000000092  - ABCSB;01/03/2023;20,09;22,36;20,04;22,25
ABC000000092  - ABCSB;01/02/2023;21,8;22,36;20,5;22,08
ABC000000092  - ABCSB;03/01/2023;20;21,82;18,92;21,76
ABC000000092  - ABCSB;01/12/2022;19,7;21,18;19,27;20,04
ABC000000092  - ABCSB;01/11/2022;18,05;20,48;18,05;19,63
ABC000000092  - ABCSB;03/10/2022;17,79;18,94;17,36;17,97
ABC000000092  - ABCSB;01/09/2022;17,86;18,75;17,5;17,68
ABC000000092  - ABCSB;01/08/2022;17,58;18,7;17,2;17,89
ABC000000092  - ABCSB;01/07/2022;18,45;19,59;17,32;17,55
ABC000000092  - ABCSB;01/06/2022;19,4;19,76;18,2;18,5
ABC000000092  - ABCSB;02/05/2022;19,07;20,24;18,3;19,4
ABC000000092  - ABCSB;01/04/2022;19,42;20,46;18,73;19,15
ABC000000092  - ABCSB;01/03/2022;17,72;19,89;17,7;19,49
ABC000000092  - ABCSB;01/02/2022;18,29;18,68;17,49;17,7
ABC000000092  - ABCSB;05/01/2022;18,8;19,29;17,6;18,22
ABC000000092  - ABCSB;01/12/2021;18,58;19,9;18,17;18,78
ABC000000092  - ABCSB;01/11/2021;19,28;20,69;18,23;18,28
ABC000000092  - ABCSB;01/10/2021;20,31;20,61;18,82;19,27
ABC000000092  - ABCSB;01/09/2021;19,93;20,38;18,57;20,34
ABC000000092  - ABCSB;02/08/2021;17,86;20,37;17,74;19,84
ABC000000092  - ABCSB;01/07/2021;17,94;18,81;16,73;17,91
ABC000000092  - ABCSB;01/06/2021;17,51;17,93;16,44;17,89
ABC000000092  - ABCSB;03/05/2021;17,02;18,25;16,54;17,36
ABC000000092  - ABCSB;01/04/2021;14,71;17,79;14,68;16,98
ABC000000092  - ABCSB;01/03/2021;16,55;16,7;14,67;14,77
ABC000000092  - ABCSB;01/02/2021;15,93;17,52;15,59;16,45
ABC000000092  - ABCSB;04/01/2021;15,65;16,75;15,4;15,83
ABC000000092  - ABCSB;01/12/2020;14,55;15,53;14,09;15,49
ABC000000092  - ABCSB;02/11/2020;14,24;15,66;14,23;14,51
ABC000000092  - ABCSB;01/10/2020;13,51;15,04;13,31;14,36
ABC000000092  - ABCSB;01/09/2020;12,66;13,65;11,78;13,51
ABC000000092  - ABCSB;03/08/2020;12,67;13,28;12,39;12,66
ABC000000092  - ABCSB;01/07/2020;12,03;12,72;11,27;12,64
ABC000000092  - ABCSB;01/06/2020;10,97;12,4;10,83;11,96
ABC000000092  - ABCSB;01/05/2020;10,5;11,32;10,05;10,91
ABC000000092  - ABCSB;01/04/2020;10,39;10,86;9,21;10,37
ABC000000092  - ABCSB;02/03/2020;14,25;14,4;10,4;10,42
ABC000000092  - ABCSB;03/02/2020;14,54;15,9;13,86;14,14
ABC000000092  - ABCSB;02/01/2020;13,47;14,9;13,1;14,61
ABC000000092  - ABCSB;02/12/2019;12,97;13,67;12,73;13,42
ABC000000092  - ABCSB;01/11/2019;12,47;13,01;12,29;12,94
ABC000000092  - ABCSB;01/10/2019;12,65;12,93;12,05;12,48
ABC000000092  - ABCSB;03/09/2019;11,2;12,85;10,68;12,65
ABC000000092  - ABCSB;01/08/2019;12,16;12,22;11,05;11,14
ABC000000092  - ABCSB;01/07/2019;12,71;12,82;11,39;12,21
ABC000000092  - ABCSB;03/06/2019;12,13;12,95;11,95;12,62
ABC000000092  - ABCSB;01/05/2019;12,38;12,39;11,36;12,1
ABC000000092  - ABCSB;01/04/2019;12,53;13,05;12,29;12,34
ABC000000092  - ABCSB;01/03/2019;12,85;12,88;12,08;12,53
ABC000000092  - ABCSB;01/02/2019;12,7;13,42;12,34;12,78
ABC000000092  - ABCSB;02/01/2019;12,1;13,27;11,69;12,73
ABC000000092  - ABCSB;03/12/2018;12,95;13,07;12,03;12,03
ABC000000092  - ABCSB;01/11/2018;13,12;13,54;12,32;12,84
ABC000000092  - ABCSB;15/10/2018;13,1;14,24;13,04;13,19
